dataset_snapshot,case_id,final_state,reason_code,root_category,decision_status,explanation
qa_t03_error,768683,accepted,target_canonical_required_member_road_surface_access,algorithm_false_reject,data_audit_target,canonical required member 具有等价 raw Road-surface 接入，不应因单个 alias 点落在相邻 mask 而拒绝
qa_t03_error,787617,rejected,step6_step3_two_node_bridge_not_realizable_in_frozen_allowed_space,frozen_space_bridge_unrealizable,data_audit_target,两目标节点之间存在真实 Road-surface 缺口，当前冻结合法空间内不可实现桥接
qa_t03_error,823840,rejected,step6_support_only_multi_target_fragmented_surface,cross_layer_or_long_span_fragment,user_confirmed_failure,支持型多目标长跨度且原始道路面分片未闭合
qa_t03_error,830724,accepted,target_business_terminal_connectivity_equivalent,algorithm_false_reject,data_audit_target,required Road 与业务终端连通已完整，不应因 alias 点被相邻 mask 排除而拒绝
qa_t03_error,867264,rejected,association_raw_connected_semantic_core_ambiguity,raw_semantic_core_ambiguity,data_audit_target,被保留与被丢弃的语义核心仍由当前 raw Road 连接，无法唯一决定路口 ownership
qa_t03_error,950770,rejected,step6_input_geometry_invalid_blocks_constraint_validation,input_geometry_invalid,user_confirmed_failure,原始 DriveZone 含无效几何且无法证明合法化不改变拓扑语义
qa_t03_error,952797,accepted,target_center_junction_2m_surface_access,algorithm_false_reject,data_audit_target,center junction 距合法 Road surface 约 1.31m，应使用统一 2m 接入门禁生成面
qa_t03_error,991243,rejected,step6_step3_two_node_bridge_not_realizable_in_frozen_allowed_space,frozen_space_bridge_unrealizable,user_confirmed_failure,两目标节点之间无法在 Step3 冻结合法空间内构造受约束连通面
qa_t03_error,992932,accepted,target_business_connectivity_required_roads_complete,algorithm_false_reject,data_audit_target,业务连通和 required Road 已完整，不应以个别 canonical alias 点覆盖否决
qa_t03_error,994202,rejected,step6_input_geometry_invalid_blocks_constraint_validation,input_geometry_invalid,user_confirmed_failure,原始 DriveZone 含无效几何且无法证明合法化不改变拓扑语义
qa_t03_error,995764,rejected,step6_step3_two_node_bridge_not_realizable_in_frozen_allowed_space,frozen_space_bridge_unrealizable,user_confirmed_failure,两目标节点之间无法在 Step3 冻结合法空间内构造受约束连通面
qa_t03_error,1049277,accepted,target_business_connectivity_required_roads_complete,algorithm_false_reject,data_audit_target,业务连通和 required Road 已完整，不应以个别 canonical alias 点覆盖否决
qa_t03_error,1056150,rejected,step6_polygon_seed_empty,no_consumable_rcsd_relation,data_audit_target,无可消费 RCSD relation 且没有合法 Road-surface 接入，不能伪造 RCSD 锚定
qa_t03_error,1071119,rejected,step6_step3_two_node_bridge_not_realizable_in_frozen_allowed_space,frozen_space_bridge_unrealizable,user_confirmed_failure,两目标节点之间无法在 Step3 冻结合法空间内构造受约束连通面
qa_t03_error,520394575,accepted,target_canonical_alias_raw_surface_portal,algorithm_false_reject,data_audit_target,两个 raw endpoint component 通过同 canonical mainNode alias group 且连接线位于 DriveZone 内，应按 Direction 严格 raw portal 解释
qa_t03_error,522008569,rejected,association_raw_connected_semantic_core_ambiguity,nonunique_directional_core_ownership,data_audit_target,候选语义核心之间仍由 Direction 有效 raw Road 连通且无法唯一归属，但该原因本身不是 T12 质量真值
qa_t03_error,522806716,rejected,association_raw_compact_alias_directional_terminal_mismatch,merge_only_terminal_collapse,user_confirmed_failure,紧凑 alias 组在严格 Direction 下形成仅汇入无汇出的单侧终端
qa_t03_error,622700016,accepted,target_required_class_a_carrier_complete,algorithm_false_reject,data_audit_target,class A required carrier 已存在，unmatched support 形态不得覆盖正式 required topology
legacy_t03_error,867264,rejected,association_raw_connected_semantic_core_ambiguity,raw_semantic_core_ambiguity,pending_visual_review,被保留与被丢弃的语义核心仍由当前 raw Road 连接
legacy_t03_error,950770,rejected,step6_input_geometry_invalid_blocks_constraint_validation,input_geometry_invalid,explicit_data_block,原始 DriveZone 含无效几何且无法证明合法化不改变拓扑语义
legacy_t03_error,991243,rejected,step6_step3_two_node_bridge_not_realizable_in_frozen_allowed_space,frozen_space_bridge_unrealizable,pending_visual_review,两目标节点之间无法在 Step3 冻结合法空间内构造受约束连通面
legacy_t03_error,994202,rejected,step6_input_geometry_invalid_blocks_constraint_validation,input_geometry_invalid,explicit_data_block,原始 DriveZone 含无效几何且无法证明合法化不改变拓扑语义
